N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.690401226080951,0.021942736683784325,0.21942736683784325,2.1942736683784325,0.22450298903531601,0.08964861276833752,0.0003297948578149226,0.011466958775984524,-0.588940641036686,1.680159411213431
20,3.6733098401444737,0.004851350747307137,0.09702701494614274,1.9405402989228548,0.20452541264870067,0.10962618915495287,-0.001403933308925147,0.013200686942724594,-0.31271048113378885,1.9563895711163282
40,3.6739661395492034,0.005507650152036803,0.2203060060814721,8.812240243258884,0.19471366642838975,0.11943793537526379,-0.0024213380436273885,0.014218091677426836,-0.15585062681661377,2.1132494254335032
80,3.6698073641086664,0.0013488747114998034,0.10790997691998427,8.632798153598742,0.1893870876012373,0.12476451420241624,-0.0028952857870598006,0.014692039420859247,-0.08047851146987028,2.1886215407802467
160,3.6687620734693236,0.000303584072157026,0.04857345154512416,7.771752247219865,0.18670637519036398,0.12744522661328955,-0.0031433171615886245,0.014940070795388071,-0.04130207784950102,2.227797974400616
320,3.6686108299714864,0.00015234057431978698,0.048748983782331834,15.599674810346187,0.18537069760803304,0.1287809041956205,-0.003275012796329328,0.015071766430128775,-0.020743109577807672,2.2483569426723093
640,3.6684833779119943,2.4888514827736685e-05,0.01592864948975148,10.194335673440946,0.18469744236998098,0.12945415943367256,-0.0033409547001280906,0.015137708333927538,-0.010433311838227155,2.25866674041189
1280,3.6684004076752608,5.808172190580052e-05,0.07434460403942467,95.16109317046357,0.1843611642566311,0.12979043754702244,-0.00337408833643793,0.015170841970237377,-0.005258635942766432,2.2638414163073506
