N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.7871759235110645,0.1187174341138979,1.187174341138979,11.87174341138979,0.3159698237694028,0.001818221965749267,0.012405001615418505,0.0006082479816190579,-2.3471924671326305,0.0780924148825135
20,3.7355650440582453,0.06710655466107873,1.3421310932215746,26.842621864431493,0.31480144090111506,0.0006498390974615242,0.01206537636965988,0.00026862273586043296,-2.30268168748637,0.033581635236252794
40,3.678748492937812,0.010290003540645465,0.4116001416258186,16.464005665032744,0.31430257725811467,0.00015097545446113303,0.012047498376566254,0.00025074474276680705,-2.300506737382886,0.031406685132768786
80,3.6717699726474704,0.003311483250303837,0.264918660024307,21.193492801944558,0.3142761885663898,0.00012458676273624514,0.011927026739985561,0.00013027310618611392,-2.2856197086272445,0.01651965637712749
160,3.67556331558019,0.007104826183023327,1.1367721892837324,181.88355028539718,0.31422474560049196,7.314379683842631e-05,0.011834884702462387,3.813106866294019e-05,-2.273875285110769,0.004775232860652068
320,3.6720459685738738,0.003587479176707209,1.1479933365463069,367.3578676948182,0.31419362455530164,4.202275164810754e-05,0.011814852133222305,1.809849942285835e-05,-2.2713831874641954,0.0022831352140784134
640,3.6701613692112574,0.0017028798140907853,1.0898430810181026,697.4995718515856,0.3141715550907184,1.9953287064888858e-05,0.011805665956991371,8.91232319192442e-06,-2.2702238254726126,0.001123773222495572
1280,3.669049274417697,0.0005907850205302267,0.7562048262786902,967.9421776367235,0.31415910709929856,7.505295645027221e-06,0.011801913510878722,5.159877079274899e-06,-2.269749287499394,0.0006492352492770692
