N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.617453203863509,0.038025088147716435,0.38025088147716435,3.8025088147716435,0.30439651263395356,0.6080502447036181,0.012106028095868889,0.010093881959075688,-2.281462181411631,0.1445123967392421
20,3.599228372862467,0.01980025714667466,0.3960051429334932,7.920102858669864,0.3041176265524532,0.6077713586221178,0.011487657470712594,0.010712252584231982,-2.2042510754295463,0.06730129075715752
40,3.5898818606714418,0.010453744955649213,0.41814979822596854,16.72599192903874,0.30390292712525957,0.6075566591949242,0.011209014430156905,0.010990895624787672,-2.169205272442376,0.03225548776998721
80,3.5847142814785524,0.005286165762759865,0.42289326102078917,33.83146088166313,0.30377402698479905,0.6074277590544637,0.011079023538124401,0.011120886516820175,-2.152787271877976,0.01583748720558731
160,3.5820311855518625,0.002603069836069949,0.4164911737711918,66.63858780339069,0.3037158529301399,0.6073695849998044,0.011015995860800072,0.011183914194144504,-2.1448443514105264,0.007894566738137598
320,3.580729405091173,0.0013012893753803212,0.4164126001217028,133.2520320389449,0.3036842052849658,0.6073379373546304,0.010984612282333588,0.011215297772610988,-2.14087999882004,0.0039302141476511565
640,3.5800805292886526,0.0006524135728600555,0.41754468663043554,267.22859944347874,0.3036690501518282,0.6073227822214928,0.010969007110639487,0.01123090294430509,-2.1389105249437534,0.001960740271364614
1280,3.5797579252909077,0.00032980957511519193,0.4221562561474457,540.3600078687305,0.30366153719827516,0.6073152692679398,0.010961219672799614,0.011238690382144962,-2.1379278022487824,0.0009780175763935972
