N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.6081621405413333,0.02873402482554077,0.2873402482554077,2.873402482554077,0.2973686924204149,0.6010224244900795,0.011341631258509996,0.01085827879643458,-2.1671771875466783,0.03022740287428949
20,3.6020116994906193,0.02258358377482672,0.4516716754965344,9.033433509930688,0.3005652755401854,0.6042190076098499,0.011105763645731055,0.011094146409213522,-2.1467966769547786,0.009846892282389774
40,3.5937852161903265,0.01435710047453398,0.5742840189813592,22.971360759254367,0.30206220637923814,0.6057159384489027,0.011016183654822919,0.011183726400121658,-2.1399790224583892,0.003029237786000394
80,3.5867259909906553,0.007297875274862697,0.5838300219890158,46.70640175912126,0.3028691759845618,0.6065229080542264,0.010983672625198612,0.011216237429745965,-2.138348956417051,0.0013991717446621976
160,3.5832408282541293,0.0038127125383367044,0.6100340061338727,97.60544098141963,0.30326138393830415,0.6069151160079687,0.010967628692345969,0.011232281362598608,-2.1375257192326558,0.0005759345602669441
320,3.5808973315804558,0.001469215864663198,0.4701490766922234,150.44770454151148,0.30344927579755987,0.6071030078672244,0.010962314773894796,0.01123759528104978,-2.1374448261641987,0.0004950414918099
640,3.580234879120809,0.0008067634050163974,0.5163285792104944,330.4502906947164,0.30355250608198614,0.6072062381516508,0.010957590035121399,0.011242320019823178,-2.13716024327951,0.00021045860712121112
1280,3.579939377595196,0.000511261879403424,0.6544152056363828,837.65146321457,0.30360471991431304,0.6072584519839777,0.010955085665582202,0.011244824389362374,-2.1370010387479965,5.1254075607687355e-05
