N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.6898514955926007,0.02139300619543416,0.2139300619543416,2.139300619543416,0.31380674831703625,0.0003448534866172803,0.012998786554585529,0.0012020329207860815,-2.4171250879530537,0.14802503570293668
20,3.68624465080309,0.017786161405923373,0.35572322811846746,7.114464562369349,0.3144000704079291,0.0002484686042755757,0.012329528456341178,0.0005327748225417307,-2.335714707083172,0.06661465483305484
40,3.6788893199369896,0.010430830539823077,0.4172332215929231,16.689328863716923,0.31432813354969225,0.00017653174603871058,0.012046018754338755,0.00024926512053930795,-2.300398109115438,0.031298056865320945
80,3.673757067269785,0.0052985778726184485,0.4238862298094759,33.91089838475807,0.31424230224524646,9.0700441592928e-05,0.011918710523198851,0.00012195688939940427,-2.2844217145999757,0.015321662349858656
160,3.6714084639038074,0.0029499745066408067,0.4719959210625291,75.51934737000465,0.31420532382813193,5.372202447839758e-05,0.011855132998487112,5.837936468766451e-05,-2.2764547348293007,0.007354682579183702
320,3.6699774639146767,0.0015189745175101521,0.4860718456032487,155.54299059303958,0.31417899272612854,2.73909224750013e-05,0.011825051788754313,2.8298154954866164e-05,-2.2726667451406968,0.003566692890579759
640,3.6692137603149857,0.0007552709178191286,0.4833733874042423,309.35896793871507,0.3141653725147573,1.3770711103755495e-05,0.011810312192383383,1.355855858393637e-05,-2.2708101870063047,0.0017101347561876423
1280,3.668798658790301,0.00034016939313463723,0.43541682321233566,557.3335337117896,0.31415808773170834,6.485928054800194e-06,0.011803120913845035,6.367280045587592e-06,-2.2699036205983703,0.0008035683482532363
