N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.711366155195086,0.04290766579791949,0.4290766579791949,4.290766579791949,0.3078028914352703,0.006348710368383248,0.012057205686704419,0.00026045205290497163,-2.283065893910594,0.013965841660477096
20,3.69337963397877,0.02492114458160355,0.498422891632071,9.96845783264142,0.3108395021559105,0.0033120996477430387,0.011903070715771383,0.00010631708197193605,-2.272587812961233,0.003487760711116117
40,3.6861473564090184,0.017688867011851794,0.7075546804740718,28.30218721896287,0.31247971743762987,0.0016718843660236682,0.011823339141471923,2.6585507672476083e-05,-2.267352924018793,0.0017471282313241687
80,3.6768706457092133,0.008412156312046726,0.6729725049637381,53.837800397099045,0.31330715384442204,0.000844447959231498,0.011810426829525296,1.3673195725849227e-05,-2.268259183993653,0.0008408682564642334
160,3.672897646082622,0.004439156685455359,0.7102650696728574,113.64241114765719,0.31372922872685977,0.00042237307679376945,0.011801580249100706,4.826615301259038e-06,-2.268421267032892,0.0006787852172251974
320,3.670417051751133,0.001958562353966631,0.6267399532693219,200.556785046183,0.3139379787145149,0.00021362308913863703,0.011799849474729897,3.0958409304501083e-06,-2.2688454195418473,0.00025463270826975304
640,3.669461331933519,0.0010028425363524107,0.6418192232655429,410.76430288994743,0.31404449011745805,0.00010711168619548239,0.011797598320798143,8.446869986956235e-07,-2.268883534712245,0.00021651753787210737
1280,3.669000195861276,0.0005417064641095592,0.6933842740602358,887.5318707971019,0.31409790919108116,5.3692612572375786e-05,0.011796393643521223,3.5999027822412877e-07,-2.268892779463272,0.0002072727868451807
