N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.7036306139883592,0.12420249827256669,1.2420249827256669,12.420249827256669,0.3065024258725201,0.6101561579421846,0.01164089178761161,0.010559018267332966,-2.2275662555965203,0.0906164709241315
20,3.6428322874715704,0.06340417175577784,1.2680834351155568,25.361668702311135,0.3045254850598834,0.6081792171295479,0.011276995651022312,0.010922914403922264,-2.1780151385647484,0.041065353892359546
40,3.582310607331485,0.0028824916156926506,0.11529966462770602,4.611986585108241,0.30362296884263024,0.6072767009122948,0.01123788061512793,0.010962029439816647,-2.172173999428413,0.035224214756024
80,3.5823645846867835,0.0029364689709909797,0.23491751767927838,18.79340141434227,0.3038068966411364,0.607460628710801,0.01108910450978449,0.011110805545160087,-2.1542121820769466,0.017262397404557817
160,3.585679360046259,0.00625124433046631,1.0001990928746096,160.03185485993754,0.30374793928646393,0.6074016713561285,0.01100041126755666,0.011199498787387916,-2.1428945098933028,0.005944725220913938
320,3.583016004238414,0.003587888522621263,1.1481243272388042,367.39978471641734,0.30372088646005113,0.6073746185297157,0.010975099041926839,0.011224811013017737,-2.13973982558457,0.0027900409121812686
640,3.5811475843250267,0.0017194686092341094,1.10045990990983,704.2943423422912,0.3036857418225215,0.607339473892186,0.010964583589392495,0.011235326465552082,-2.1383791137500907,0.0014293290777018797
1280,3.5799523715069443,0.0005242557911517842,0.6710474126742838,858.9406882230833,0.3036632285379474,0.607316960607612,0.01096040215220924,0.011239507902735337,-2.1378254363298765,0.0008756516574877082
