N,V(N),|V(N) - V_exact|,N|V(N) - V_exact|,N^2|V(N) - V_exact|,Delta_1,|Delta_1 - Delta_BS|,Gamma_1,|Gamma_1 - Gamma_BS|,Theta_1,|Theta_1 - Theta_BS|
10,3.5941084644562373,0.01468034874044477,0.1468034874044477,1.468034874044477,0.21532775621884426,0.5189814882885089,0.0002868827158432987,0.021913027339101276,-0.56013393712119,1.5768158475511989
20,3.5822374173601395,0.0028093016443468954,0.05618603288693791,1.1237206577387582,0.1973978258250568,0.5010515578947213,-0.0014387020936140508,0.023638612148558627,-0.2911675874995012,1.8457821971728876
40,3.580477917161136,0.0010498014453435012,0.04199205781374005,1.6796823125496019,0.18799096591046047,0.491644697980125,-0.0023555734828700644,0.02455548353781464,-0.14820470475052971,1.9887450799218591
80,3.5799875634745093,0.0005594477587167468,0.04475582069733974,3.5804656557871795,0.18300140195640863,0.4866551340260732,-0.0028241083738056987,0.025024018428750273,-0.07443572561683709,2.0625140590555517
160,3.579513425902122,8.531018632940146e-05,0.013649629812704234,2.1839407700326774,0.18045083926368607,0.4841045713333506,-0.003057208185858402,0.025257118240802977,-0.03749975583509979,2.099450028837289
320,3.579392854909251,3.5260806541703715e-05,0.011283458093345189,3.6107065898704604,0.17916875552039424,0.4828224875900588,-0.0031747192276917052,0.02537462928263628,-0.01888359018998642,2.1180661944824024
640,3.579402030598557,2.6085117235563615e-05,0.016694475030760714,10.684464019686857,0.17852269264808257,0.48217642471774713,-0.0032342630844457705,0.025434173139390347,-0.009455573641616866,2.127494211030772
1280,3.579421438330991,6.677384801534458e-06,0.008547052545964107,10.940227258834057,0.17820009137939063,0.4818538234490552,-0.003264146692545195,0.02546405674748977,-0.004728089149352854,2.132221695523036
