bs value
2.611240,-0.333730,0.035382,-1.438260
ttree
2.645296,0.034057,0.340566,3.405655,-0.334289,0.000558,0.034925,0.000457,-1.473241,0.034981,
2.634495,0.023256,0.465117,9.302335,-0.333750,0.000019,0.035101,0.000281,-1.451021,0.012761,
2.615738,0.004498,0.179930,7.197210,-0.333510,0.000221,0.035305,0.000077,-1.448164,0.009904,
2.601763,0.009477,0.758141,60.651292,-0.333488,0.000243,0.035453,0.000071,-1.449385,0.011125,
2.614076,0.002837,0.453880,72.620792,-0.333736,0.000006,0.035350,0.000032,-1.439895,0.001635,
2.609396,0.001843,0.589918,188.773747,-0.333679,0.000052,0.035395,0.000013,-1.440751,0.002490,
2.610417,0.000822,0.526246,336.797528,-0.333704,0.000027,0.035388,0.000006,-1.439448,0.001187,
2.611010,0.000229,0.293582,375.784740,-0.333721,0.000009,0.035383,0.000001,-1.438763,0.000503,
bs
2.610319,0.000921,0.009205,0.092050,-0.333007,0.000724,0.035209,0.000173,-1.491474,0.053213,
2.611034,0.000206,0.004116,0.082313,-0.333359,0.000372,0.035314,0.000068,-1.463764,0.025503,
2.611169,0.000071,0.002837,0.113480,-0.333543,0.000187,0.035352,0.000030,-1.450791,0.012531,
2.611204,0.000036,0.002860,0.228780,-0.333637,0.000093,0.035368,0.000014,-1.444478,0.006218,
2.611235,0.000004,0.000653,0.104492,-0.333684,0.000046,0.035375,0.000007,-1.441349,0.003089,
2.611234,0.000006,0.001920,0.614518,-0.333707,0.000023,0.035379,0.000003,-1.439804,0.001543,
2.611237,0.000003,0.001718,1.099663,-0.333719,0.000012,0.035381,0.000002,-1.439031,0.000771,
2.611238,0.000001,0.001510,1.932924,-0.333725,0.000006,0.035381,0.000001,-1.438645,0.000385,
bsr
2.613954,0.002715,0.027147,0.271466,-0.333545,0.000186,0.035590,0.000208,-1.426036,0.012224,
2.611748,0.000509,0.010179,0.203575,-0.333711,0.000020,0.035419,0.000037,-1.436054,0.002206,
2.611303,0.000064,0.002557,0.102292,-0.333727,0.000003,0.035391,0.000008,-1.437819,0.000442,
2.611239,0.000001,0.000046,0.003640,-0.333732,0.000002,0.035384,0.000002,-1.438166,0.000095,
2.611267,0.000028,0.004413,0.706136,-0.333731,0.000001,0.035382,0.000000,-1.438219,0.000041,
2.611232,0.000008,0.002535,0.811069,-0.333730,0.000000,0.035382,0.000000,-1.438259,0.000002,
2.611240,0.000001,0.000404,0.258746,-0.333730,0.000000,0.035382,0.000000,-1.438258,0.000002,
2.611240,0.000000,0.000416,0.532803,-0.333730,0.000000,0.035382,0.000000,-1.438260,0.000001,
