N,real_N,V,error
10000.0,6402.0,6.527938728001624,0.08871593063954641
20000.0,12839.0,6.504320614908504,0.11233404373266609
40000.0,25508.0,6.499195663851036,0.11745899479013477
80000.0,50855.0,6.528400753503607,0.08825390513756393
160000.0,101767.0,6.525654342478252,0.09100031616291826
320000.0,203447.0,6.538372432793128,0.07828222584804223
640000.0,407607.0,6.549376997452859,0.06727766118831191
1280000.0,814454.0,6.537214975620285,0.07943968302088589
2560000.0,1629366.0,6.532507746897794,0.0841469117433764
5120000.0,3258852.0,6.535197922001952,0.08145673663921826
