n,m,Option Value
50.0,150.0,11.93651230116225
100.0,150.0,11.893098367057684
200.0,150.0,12.128893492583943
400.0,150.0,11.883443800423576
800.0,150.0,11.502191405964394
1600.0,150.0,11.68409357764376
3200.0,150.0,11.565590486796086
6400.0,150.0,11.72714365884417
12800.0,150.0,11.692324609730086
25600.0,150.0,11.759395313851593
