10000;3.3383;0.287919;0.522426;0.00448138;14.0104;1.82113
20000;3.33929;0.266918;0.52245;0.00291664;14.0166;1.69634
40000;3.33983;0.27013;0.522438;0.00651447;14.0201;1.70568
80000;3.34012;0.300354;0.522445;0.00722098;14.0219;1.8873
160000;3.34027;0.362954;0.522449;0.00870441;14.0229;2.26703
320000;3.34035;0.466717;0.522451;0.0111739;14.0235;2.89964
640000;3.3404;0.625074;0.522452;0.0149495;14.0238;3.86813
1280000;3.34042;0.857831;0.522453;0.0205037;14.0239;5.2945
2560000;3.34043;1.19365;0.522453;0.0291468;14.024;7.35354
5120000;3.34044;1.67356;0.522453;0.0408658;14.0241;10.2999
10000;3.71235;0.0732966;-0.47015;0.00926268;14.028;0.0595947
20000;3.71258;0.0702953;-0.470094;0.00520333;14.0281;0.0731157
40000;3.71271;0.074417;-0.470091;0.00674898;14.0282;0.0833236
80000;3.71277;0.08664;-0.470077;0.00554962;14.0282;0.111823
160000;3.71281;0.108761;-0.47007;0.00500858;14.0282;0.153872
320000;3.71283;0.143671;-0.470066;0.00506528;14.0282;0.21463
640000;3.71284;0.19574;-0.470064;0.00572989;14.0282;0.301485
1280000;3.71284;0.271376;-0.470064;0.00708526;14.0282;0.424977
2560000;3.71284;0.379815;-0.470064;0.00992328;14.0282;0.59861
5120000;3.71284;0.534253;-0.470063;0.0135206;14.0282;0.845953
